award,years,link,source_url,extraction_date
Sporting News Manager of the Year Award,1936 - 2024,https://www.baseball-almanac.com/awards/aw_snmy.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Sporting News MLB Executive of the Year Award,1936 - 2024,https://www.baseball-almanac.com/awards/aw_sney.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Sporting News MLB Player of the Year Award,1936 - 2024,https://www.baseball-almanac.com/awards/aw_snml.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Sporting News Most Valuable Player Award,1929 - 1945 | Discontinued in 1946,https://www.baseball-almanac.com/awards/aw_snmv.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Sporting News Starting Pitcher of the Year Award,1944 - 2024,https://www.baseball-almanac.com/awards/aw_snpy2.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Sporting News Pioneer Award,1984 - 1990 | Discontinued in 1991,https://www.baseball-almanac.com/awards/MLB_Pioneer_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Sporting News Player of the Year Award,1944 - 1991 | Discontinued in 1992,https://www.baseball-almanac.com/awards/aw_snpy.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Sporting News Rookie of the Year Award,1946 - 1962 & 2004 - 2024,https://www.baseball-almanac.com/awards/aw_snrp3.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Sporting News Rookie Pitcher of the Year Award,1946 - 2003 | Unified Sporting News Rookie of the Year in 2004,https://www.baseball-almanac.com/awards/aw_snrp.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Sporting News Rookie Player of the Year Award,1946 - 2003 | Unified Sporting News Rookie of the Year in 2004,https://www.baseball-almanac.com/awards/aw_snrp2.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Sports Illustrated Sportsperson of the Year Award,1955 - 2024,https://www.baseball-almanac.com/awards/aw_si.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Starting Pitcher of the Year Award,2002 - 2014 | Renamed Esurance MLB Awards in 2015,https://www.baseball-almanac.com/awards/starting_pitcher_of_the_year_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Steve Carlton Most Valuable Pitcher Award,2004 - 2014 | Discontinued in 2015,https://www.baseball-almanac.com/awards/steve_carlton_most_valuable_pitcher_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Ted Williams Award,1997 - 2001 | Discontinued in 2002,https://www.baseball-almanac.com/awards/aw_twa.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Texas League MVP,1931 - 2024,https://www.baseball-almanac.com/awards/texas_league_player_of_the_year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Thomas A. Yawkey Award,1937 - 2022,https://www.baseball-almanac.com/awards/Thomas_A_Yawkey_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Tiger of the Year Award,1965 - 2024,https://www.baseball-almanac.com/awards/tiger_of_the_year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Tiger Rookie of the Year Award,1969 - 2024,https://www.baseball-almanac.com/awards/tiger_rookie_of_the_year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Tip O'Neill Award,1984 - 2024,https://www.baseball-almanac.com/awards/tip_oneill_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Tony Conigliaro Award,1997 - 2024,https://www.baseball-almanac.com/awards/aw_tc.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Toronto Blue Jays Good Guy Award,1977 - 2024,https://www.baseball-almanac.com/awards/Blue_Jays_Good_Guy_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Toronto Blue Jays Most Improved Player Award,1977 - 2024,https://www.baseball-almanac.com/awards/Blue_Jays_Most_Improved_Player_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Toronto Blue Jays Pitcher of the Year Award,1977 - 2024,https://www.baseball-almanac.com/awards/Blue_Jays_Pitcher_of_the_Year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Toronto Blue Jays Player of the Year Award,1977 - 2024,https://www.baseball-almanac.com/awards/Blue_Jays_Player_of_the_Year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Toronto Blue Jays Rookie of the Year Award,1977 - 2024,https://www.baseball-almanac.com/awards/Blue_Jays_Rookie_of_the_Year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
"Triple Crown Award, Hitting",1876 - 2024,https://www.baseball-almanac.com/awards/aw_triph.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
"Triple Crown Award, Pitching",1876 - 2024,https://www.baseball-almanac.com/awards/pitrip.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
True Ranger Award,2019 - 2024,https://www.baseball-almanac.com/awards/true_ranger_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Tug McGraw True Pro Award,2004 - 2014 | Discontinued in 2015,https://www.baseball-almanac.com/awards/tug_mcgraw_true_pro_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
USA Today High School Baseball Player of the Year,1989 - 2024,https://www.baseball-almanac.com/awards/All-USA_Today_High_School_Baseball_Team_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Warren Spahn Award,1999 - 2024,https://www.baseball-almanac.com/awards/warrenspahnaward.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Wilbur Snypp Award,1975 - 2024,https://www.baseball-almanac.com/awards/wilbur_snypp_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
"Willie, Mickey and the Duke Award",1995 - 2024,https://www.baseball-almanac.com/awards/willie_mickey_and_the_duke_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Willie Mac Award,1980 - 2024,https://www.baseball-almanac.com/awards/willie_mac_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Wilson Defensive Player of the Year Award,2012 - 2019 | Discontinued in 2020,https://www.baseball-almanac.com/awards/Wilson_Defensive_Player_of_The_Year_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
World Baseball Classic Most Valuable Player Award,2006 - 2026,https://www.baseball-almanac.com/awards/World_Baseball_Classic_MVP.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
World Series Most Valuable Player Award,1955 - 2024,https://www.baseball-almanac.com/awards/aw_mvpw.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
